Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
CASH.TO,50.0,2025/12/05,15:58 EST,0.0099983215,50.0,50.005,50.0,413218,20251205,50.01,540.0,0.0,,,,
NVDA,182.41,2025/12/05,16:00 EST,-0.970001,183.86,184.66,180.91,142982463,20251125,174.8,18.0,4.95,,,,
ACB.TO,6.39,2025/12/05,16:00 EST,0.0,6.36,6.47,6.34,226210,20251008,2154.24,1.0,0.0,,,,
SAVA,3.19,2025/12/05,16:00 EST,-0.13,3.3,3.38,3.15,860429,20251009,54.8389,44.0,0.0,,,,
WCP.TO,11.84,2025/12/05,16:00 EST,0.0,11.84,12.0,11.81,7280284,20251009,14.4688,449.0,0.0,,,,
YGMZ,0.0789,2025/12/05,16:00 EST,0.0154,0.0732,0.08,0.0665,49008883,20251009,78.5354,13.0,0.0,,,,
CAD=X,1.3815,2025/12/06,05:21 GMT,-0.013880014,1.3815,1.3815,1.3815,0,,,,,,,,
COST,894.68,2025/12/05,16:00 EST,-1.17499,897.25,905.89,893.12,2096935,20251008,951.67,12.0,0.0,,,,
MSFT,483.16,2025/12/05,16:00 EST,2.32001,482.5,483.4,478.8801,22109742,20251009,411.9511,7.62224,0.0,,,,
SLV,52.95,2025/12/05,16:00 EST,1.19,52.71,53.82,52.535,43455897,20251007,40.05,200.0,4.95,,,,
UNH,330.91,2025/12/05,16:00 EST,-2.57999,335.0,335.71,328.51,5838071,20251008,280.0,7.0,6.88,,,,
V,331.24,2025/12/05,16:00 EST,4.13998,326.83,334.11,326.3972,4266137,20251009,320.495,10.0,0.0,,,,
VOO,630.48,2025/12/05,16:00 EST,1.17999,630.3,632.975,629.49,5003963,20250430,470.0,10.0,0.0,,,,
VOO,630.48,2025/12/05,16:00 EST,1.17999,630.3,632.975,629.49,5003963,20251001,574.742,30.0,0.0,,,,
VOO,630.48,2025/12/05,16:00 EST,1.17999,630.3,632.975,629.49,5003963,20250103,480.9677,24.52,0.0,,,,
VOO,630.48,2025/12/05,16:00 EST,1.17999,630.3,632.975,629.49,5003963,20251010,599.5,10.0,0.0,,,,
BTC-USD,89646.07,2025/12/06,18:48 UTC,552.8594,89360.836,90120.586,89124.484,42579996672,20251009,450.99,0.016052,0.0,,,,
AC.TO,18.88,2025/12/05,16:00 EST,-0.12000084,18.99,19.07,18.63,2141541,20251009,18.5421,189.0,0.0,,,,
CM.TO,126.15,2025/12/05,16:00 EST,-0.15000153,126.19,126.98,125.11,2878796,20241115,63.3042,293.0,0.0,,,,
TD.TO,122.2,2025/12/05,16:00 EST,2.1100006,120.79,122.24,120.51,3834537,20251008,57.55,319.0,0.0,,,,
XIU.TO,46.42,2025/12/05,15:59 EST,-0.24000168,46.64,46.71,46.35,2349610,20251128,46.36,8.0,0.0,,,,
XIU.TO,46.42,2025/12/05,15:59 EST,-0.24000168,46.64,46.71,46.35,2349610,20251008,42.08,28.0,0.0,,,,
XIU.TO,46.42,2025/12/05,15:59 EST,-0.24000168,46.64,46.71,46.35,2349610,20251205,46.5,8.0,0.0,,,,
XQQ.TO,63.52,2025/12/05,15:59 EST,0.27999878,63.42,63.83,63.35,183970,20251008,57.0,100.0,0.0,,,,
XQQ.TO,63.52,2025/12/05,15:59 EST,0.27999878,63.42,63.83,63.35,183970,20251010,60.5,100.0,0.0,,,,
XQQ.TO,63.52,2025/12/05,15:59 EST,0.27999878,63.42,63.83,63.35,183970,20251201,62.24,50.0,0.0,,,,